GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AB4001,AB4002,AB4003,AB4004,AB4005,AB4006,AB4007,AB4008,AB4009,AB4010,AB4011,AB4012,AB4013,AB4014,AB4015,AB4016,AB4017,AB4018,AB4019,AB4020,AB4021,AB4022
"G1300455","1840","Georgia","130","Cass","0455","Cass","44","150",51613,421,49274,1089,0,469364,4678,35,282,559,10138,3,0,0,6430,0,326403,8,0,0,882,0
"G1300510","1840","Georgia","130","Chatham","0510","Chatham","44","510",0,0,3815,20,0,58118,1875,35,435,6844,32481,0,0,0,0,6158516,1157106,614,0,0,9072,0
"G1300550","1840","Georgia","130","Chattooga","0550","Chattooga","44","550",18789,400,12503,119,0,201568,2075,0,88,375,6701,37,0,0,8206,0,112941,14,0,20,3,0
"G1300570","1840","Georgia","130","Cherokee","0570","Cherokee","44","570",28192,113,13105,870,0,247936,2753,0,350,254,5162,0,0,0,5209,0,84542,0,0,0,0,0
"G1300590","1840","Georgia","130","Clarke","0590","Clarke","44","590",41631,156,58915,277,0,288776,4394,0,0,833,9754,0,0,1000,0,0,795615,0,0,0,0,0
"G1300670","1840","Georgia","130","Cobb","0670","Cobb","44","670",27264,0,10606,626,0,320029,36057,0,0,412,4930,1834,0,0,0,2,154965,20,0,0,608,0
"G1300730","1840","Georgia","130","Columbia","0730","Columbia","44","730",20258,379,31144,874,0,403796,9287,21,1028,488,16023,5,0,0,227,130,3738537,21,0,0,3013,106
"G1300770","1840","Georgia","130","Coweta","0770","Coweta","44","770",55147,106,24735,630,0,371753,6416,10,216,79,9038,52,0,0,5275,0,4556905,0,0,0,35,0
"G1300790","1840","Georgia","130","Crawford","0790","Crawford","44","790",19700,104,16328,819,0,1494460,4623,0,0,356,26309,0,0,0,0,0,4050531,0,0,0,0,0
"G1300830","1840","Georgia","130","Dade","0830","Dade","44","830",3940,0,7547,160,0,77810,1187,95,85,570,2131,0,0,0,1331,0,32904,0,0,0,0,0
"G1300870","1840","Georgia","130","Decatur","0870","Decatur","44","870",148,4,4039,194,0,161752,3138,0,438,326,40811,0,0,0,12170,39030,1794928,7,0,38755,2139,0
"G1300890","1840","Georgia","130","DeKalb","0890","De Kalb","44","890",45648,31,47007,256,0,293054,4873,0,0,17,1034,0,0,0,270,0,522797,0,0,0,0,0
"G1300930","1840","Georgia","130","Dooly","0930","Dooly","44","930",7064,29,724,544,0,106472,2504,0,0,13,8392,0,0,0,0,0,2576795,0,0,0,0,0
"G1300990","1840","Georgia","130","Early","0990","Early","44","990",2327,84,2461,692,0,119750,1762,0,0,0,17573,0,0,0,564,3300,1057898,0,0,24625,50,0
"G1301030","1840","Georgia","130","Effingham","1030","Effingham","44","1030",1222,0,665,149,0,54830,2512,0,420,181,20278,68,0,0,0,69313,240603,231,0,3670,7786,0
"G1301050","1840","Georgia","130","Elbert","1050","Elbert","44","1050",27681,67,35501,775,0,294423,5814,0,236,904,9874,0,0,0,0,0,1692848,100,0,0,0,110
"G1301070","1840","Georgia","130","Emanuel","1070","Emanuel","44","1070",3087,0,267,55,0,37129,1504,0,0,14,2758,0,0,0,0,0,72880,0,0,2200,0,0
"G1301130","1840","Georgia","130","Fayette","1130","Fayette","44","1130",28010,118,17902,433,0,228957,3500,3,219,182,3404,0,0,0,1675,0,1980113,0,0,0,83,0
